,symbol,shortName,country,averageVolume,currentPrice,currency,sector,industry,profitMargins,operatingMargins,operatingCashflow,returnOnAssets,returnOnEquity,trailingEps,totalRevenue,revenuePerShare,revenueGrowth,grossProfits,netIncomeToCommon,totalCash,totalCashPerShare,totalDebt,bookValue,marketCap,enterpriseValue,trailingPE,earningsQuarterlyGrowth,forwardPE,pegRatio,priceToSalesTrailing12Months,priceToBook,enterpriseToRevenue,beta,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendYield,fiveYearAvgDividendYield
0,BMO.TO,BANK OF MONTREAL,Canada,2076314,127.85,CAD,Financial Services,Banks—Diversified,0.25075,0.38334998,-65562931.67035472,0.0063300002,0.110810004,7.196124186950982,19330005276.68477,29.97094883658552,0.43799999999999994,17562176624.421642,4650228710.113322,264107243666.25626,407.9957540400992,121427285201.49664,79.672,65374154106.27505,-74167979713.12009,14.034029,0.8909999999999999,10.779933,0.49,3.3820040000000002,1.6047044,-3.8369999999999997,1.18787,104.5452289948367,59.970334607389525,100.75410381546301,96.07523679340171,0.03291925,4.09
1,BNS.TO,BANK OF NOVA SCOTIA,Canada,3790387,78.19,CAD,Financial Services,Banks—Diversified,0.2969,0.3836,-55858826907.766365,0.006790000000000001,0.114479996,4.90300140816737,20901146852.79152,17.245420773821493,0.182,19946929524.57587,6027840190.030174,285892297590.60144,235.52416817541737,144303217332.82904,54.342,74972173988.41815,-63371514484.14671,12.597069,0.807,9.884955999999999,0.67,3.5869883999999996,1.4388503000000001,-3.032,0.842866,65.0494870247435,42.2920405015758,62.54173648494602,62.47629599007576,0.04585403,4.63
2,CM.TO,CANADIAN IMPERIAL BANK OF COMME,Canada,1429211,145.99,CAD,Financial Services,Banks—Diversified,0.29948,0.42888000000000004,-25646955612.35432,0.007090000000000001,0.13177,9.372339569503117,14382769395.82914,32.185870046268356,0.5479999999999999,12837695969.959095,4195237762.6178493,172176947983.46674,383.41439415275255,133387394834.14467,86.70299999999999,51789255218.22839,15425836749.61711,12.304257000000002,3.1180000000000003,10.703078999999999,0.65,3.6007845,1.6837941000000003,1.073,1.010519,120.73058405418091,76.16358881512771,116.05521240528395,108.3089757258767,0.039446134,4.95
3,CWB.TO,CDN WESTERN BANK,Canada,194826,36.61,CAD,Financial Services,Banks—Regional,0.35131,0.47741999999999996,-1668132704.1480587,0.00942,0.09961,2.510349359619124,738675427.1950644,8.473416482263795,0.258,636061546.3018843,237648242.85925028,108337616.45812376,1.2283175752698985,2272829019.770669,35.993,2520610214.357942,4842447623.501642,11.519824,0.385,10.0854,1.16,3.4123379999999996,1.0171423000000002,6.556,1.824037,29.819285187420373,18.736779990612213,28.079150191108425,27.273884146717624,0.031309042,3.46
4,LB.TO,LAURENTIAN BANK,Canada,139900,41.03,CAD,Financial Services,Banks—Regional,0.18505,0.24481999999999998,2191435385.845906,0.0038,0.06479,2.0948541540937438,729557459.161805,16.887589351572448,0.335,675147322.4703279,125283653.18849324,5515624727.740896,127.01909609065912,11282677857.504187,55.394,1404784651.5013745,7402861254.819284,15.471342000000002,4.9719999999999995,10.740836999999999,0.62,1.9255297999999998,0.7406939,10.147,1.1676520000000001,35.648856702206125,20.332407966203977,33.248910580030845,33.290081731375295,0.04454502,5.63
5,NA.TO,NATIONAL BANK OF CANADA,Canada,1374095,97.98,CAD,Financial Services,Banks—Diversified,0.32641,0.43073002,-14818012522.894115,0.00795,0.15637,5.865117682558839,6391200813.936832,19.007720780527045,0.45799999999999996,5593386977.804599,1986635871.6502376,114140324902.93301,338.2541728693086,37400886804.90846,46.553999999999995,26116457737.801914,-49124847642.64198,13.195960000000001,1.177,11.513514,0.75,4.086314700000001,2.1046526,-7.686,1.1307180000000001,80.12106216053107,49.3696774626165,77.28410671226445,72.81031343123449,0.028823707,3.98
6,RY.TO,ROYAL BANK OF CANADA,Canada,3276903,127.66,CAD,Financial Services,Banks—Diversified,0.31743000000000005,0.43449003,-14449912308.841948,0.00912,0.16864,7.774341849393146,38317187614.17823,26.910818748742706,0.086,33832052571.581837,11955360740.465364,549755455802.0733,385.86944947361366,298086216758.03925,60.044,143935743186.32065,-99886627339.08936,12.970941999999999,0.34299999999999997,11.875349,6.88,3.7564278,2.1261077,-2.6069999999999998,0.790196,106.0302688929122,71.68477167571916,102.65431505397972,97.46305002346944,0.03334105,3.83
7,TD.TO,TORONTO-DOMINION BANK,Canada,4521500,82.48,CAD,Financial Services,Banks—Diversified,0.35457,0.39792,49034752155.18272,0.008590001,0.15292,6.1376383021524825,31997868898.963318,17.66249580902568,0.451,28756059813.585457,11138589302.069334,424174006994.08026,233.22946556695496,253965531845.85794,49.248999999999995,118492267614.41425,-46172345461.21101,10.615186999999999,1.439,10.95352,0.61,3.7031300000000003,1.6747549,-1.443,0.871137,70.39721048749412,45.372708375243064,66.35238046000133,66.71751464494065,0.038099833,3.79
8,VB.TO,VERSABANK,Canada,7425,13.81,CAD,Financial Services,Banks—Regional,0.34507,0.47591000000000006,-163150590.75973982,0.00981,0.0813,0.6682679541339771,46123917.38751424,2.1833246161067517,0.163,43073266.27774424,14203458.727284918,215194919.86857098,10.187531683765839,78857198.41748808,11.064,230431530.33192512,91357809.28854018,16.323877,0.11599999999999999,10.30597,,4.995922599999999,1.2481923000000001,1.9809999999999999,1.127094,13.934097767048886,4.984362636625762,10.56789937638302,11.329367802588346,0.007117437700000001,
9,CBA.AX,CWLTH BANK FPO,Australia,2351392,102.88,AUD,Financial Services,Banks—Diversified,0.42470002,0.54885,-14533613692.448637,0.00839,0.11739001,3.2910297312395262,17527785797.5495,9.897218049779653,0.27399999999999997,17527785984.73093,6465802106.525976,115597691910.29234,65.21956675563278,182732213126.1573,42.316,133454069465.08595,200427860234.18533,22.857143,0.546,18.570396,,7.6138577000000005,2.4312315,11.435,0.662485,79.72027807088324,45.800955868661156,74.5006873688784,70.1592334802309,0.024112785,5.17
10,WBC.AX,WESTPAC FPO,Australia,5184302,25.88,AUD,Financial Services,Banks—Diversified,0.23064,0.45083,16265041909.19496,0.00489,0.06506,0.8810688349574824,14402002686.204456,3.974680652970021,0.322,12433672646.018248,3321008100.5424857,56430816256.69915,15.40005958661784,127551714905.84073,19.663,69359710082.66153,140254092248.78406,21.477176999999998,1.893,10.738588,,4.8159766,1.3161775,9.738999999999999,0.7525649999999999,19.829532617466327,11.698839302340016,18.776433812922853,18.610256187697846,0.03423077,5.8
11,ANZ.AX,ANZ BANK FPO,Australia,4323967,27.7,AUD,Financial Services,Banks—Diversified,0.3008,0.47052,5477981316.139283,0.0046,0.08052999999999999,1.2042492706846253,12092943810.951523,4.265689280615728,0.22699999999999998,10893812922.847744,3649306731.669046,201407960164.99533,70.89204146235491,173018521226.27274,22.022,57632479101.195465,29512707205.918938,16.818459,0.905,11.214575,,4.7657940000000005,1.2578331,2.44,0.9156209999999999,21.67209980758488,11.991310284898514,20.641139594066164,20.6471220880144,0.037674915,5.43
12,NAB.AX,NAT. BANK FPO,Australia,5074513,27.89,AUD,Financial Services,Banks—Diversified,0.28800000000000003,0.49635,6382447970.087518,0.00577,0.08648,0.5885978523989821,11307659316.372663,3.476017627707777,0.162,10452181739.184408,3767757386.014524,99395530981.57532,30.18958599714481,163800569607.22986,18.660999999999998,67266830034.47582,127092093153.50755,34.645959999999995,1.443,11.4773655,,5.948785,1.4945608,11.239,0.9170809999999999,21.116404940723733,12.108298677921915,20.19837142945813,19.52121117000807,0.021276597,6.37
13,BOQ.AX,BANK QLD FPO,Australia,2305365,9.46,AUD,Financial Services,Banks—Regional,0.18314,0.38085,-1526698528.955372,0.0031100000000000004,0.040780000000000004,0.25810564210787657,702661535.5967972,1.543515610452486,0.07,676339147.1665323,128687232.32574016,1921534355.4093478,4.232055117621502,8538690429.386133,9.734,4442846675.9853525,9655048706.955496,26.798868,0.6559999999999999,9.957894999999999,,6.322883,0.9718511999999999,13.741,0.923034,7.114356650735522,3.9898796387561295,6.851741837254049,6.590823355471415,0.03078556,6.66
14,BEN.AX,BEN ADE BK FPO,Australia,1978028,9.61,AUD,Financial Services,Banks—Regional,0.19804001,0.27715,-3357859257.163429,0.00374,0.049990002,0.3487716467010117,1074026542.3027744,2.0472968779095027,0.05,1045510644.9009992,212699522.06566945,6791175840.645521,12.802917261498356,3527858179.559307,11.401,3839300374.2933397,878795750.4810377,20.14675,0.6729999999999999,11.045977,,3.5746790999999996,0.8429085,0.818,1.0353780000000001,8.54015269070821,4.240829247098255,7.389361266215628,7.473144697411707,0.028925617999999997,6.43
15,MYS.AX,MYSTATE FPO,Australia,132813,4.6,AUD,Financial Services,Banks—Regional,0.26048002,0.39148,-327187288.1881944,0.00575,0.09696999,0.2544497548258953,102010228.6785426,1.0996908944199617,0.151,102010222.82912296,26571719.94289616,84380072.00049655,0.8013704922102911,864090871.0222827,3.818,335152653.50630003,1172282192.2909813,13.21839,0.293,12.432432,,3.2854807,1.2048192,11.492,0.793614,3.9776053627956056,2.5785572565328034,3.741394317795295,3.4856428477437778,0.024509804,5.81
16,BBC.AX,BNKBANKING FPO,Australia,56018,0.8,AUD,Financial Services,Banks—Regional,0.126,0.17107999999999998,-50167547.63825958,0.00533,0.04112,0.03509651790702005,26118389.91993048,0.2807721432561604,0.049,25482265.532865744,3291029.7312395256,36825752.59139718,0.3853305195208243,13001797.529638136,1.208,52837989.04102787,36571767.86543355,16.666666,-0.27399999999999997,,,2.0230186000000003,0.6622517,1.4,0.8815930000000001,0.6397802743467196,0.4533300229656756,0.5787472469120476,0.5500959778536403,,
17,CHILE.SN,BANCO DE CHILE,Chile,15481290,78.0,CLP,Financial Services,Banks—Regional,0.34267,0.44011999999999996,-2861519575.4496,0.01154,0.1436,0.006279,2046331374.7968,0.020257900000000002,0.157,1854871200.0,701209621.2991999,14672245293.056002,0.14524510000000002,20515427608.1664,37.817,10243124022.4768,15352223445.8112,16.149069,0.45399999999999996,12.093022999999999,,5.005604,2.0625644,7.502000000000001,0.39655100000000004,0.117,0.076388,0.094203577,0.09895363399999997,0.028138304,3.77
18,BSANTANDER.SN,BCO SANTANDER-CHIL,Chile,24803537,40.9,CLP,Financial Services,Banks—Regional,0.3845,0.48708,,0.01107,0.18645,0.0038298000000000004,2217140905.5744,0.011765,0.385,1934961600.0,852494516.224,19371579460.8128,0.1027962,29849804393.6768,18.915,10019673944.8832,20490134382.1824,13.883231,1.186,11.586403,,4.5191870000000005,2.162305,9.242,0.466843,0.06122999999999999,0.034203,0.0511668846,0.052024362000000005,0.040741656,3.95
19,BCI.SN,BCO CREDITO INVERS,Chile,13501,32100.0,CLP,Financial Services,Banks—Regional,0.28513,0.30578,6366968152.064,0.007239999699999999,0.10744000000000001,3.2390709,1960787483.0336,13.1482559,0.272,1769014000.0,559083211.9808,10298004393.1648,69.221932,25253198482.6368,26822.693,6208088388.4032,21174585026.1504,12.883324,0.91,9.993339,,3.1661200000000003,1.1967478,10.799000000000001,0.32051199999999996,51.974,30.68,41.1506823,43.537543400000004,0.022015347999999997,2.68
20,ITAUCORP.SN,ITAU CORPBANCA,Chile,24922925,2.051,CLP,Financial Services,Banks—Regional,0.13463001,0.23642999,,,,0.0003198,1249055034.5728,,0.095,811941000.0,168155224.4736,6357734182.0928,0.0124072,17169813340.16,4.519,1366230879.4368,12399928043.1104,8.337399000000001,2.326,4.1857142,,1.0938116000000002,0.4538615,9.927,0.5397029999999999,0.0039,0.002379,0.0026131484599999995,0.00299834548,0.03490566,
21,SECURITY.SN,GRUPO SECURITY SA,Chile,205640,136.0,CLP,Financial Services,Banks—Regional,0.18398,0.20950001,-154512756.736,0.005370000000000001,0.07753,0.0220363,460328874.8032,0.1197794,-0.09,452802426.7,84690310.3488,1176922567.4752,0.2911519,6595818343.628799,206.695,714676849.8687999,6167191879.679999,8.023126,-0.13699999999999998,4.7058824999999995,,1.5525353000000002,0.6579743,13.397,0.69589,0.234,0.14884999999999998,0.17267194100000002,0.185330002,0.055597015,4.24
